,Tweet,Textlabel,sentiment,Category
52,get desperate tried suck whore myslave blackmail pathetic,negative,-0.8,bullying
53,men decided violent rhetorical bomb thrower finding word consequence 'you asshole k,negative,-0.8,bullying
54,what.. idiot,negative,-0.8,bullying
55,mr. de niro idiot,negative,-0.8,bullying
56,realdonaldtrump idiot 'maybe want happening london happening 'you,negative,-0.8,bullying
57,seanhannity idiot..,negative,-0.8,bullying
58,idiot look dave gettlemans draft histor,negative,-0.8,bullying
59,realdonaldtrump truly idiot,negative,-0.8,bullying
60,idiot..,negative,-0.8,bullying
61,idiot..,negative,-0.8,bullying
62,trump idiot senator,negative,-0.8,bullying
63,idiot..,negative,-0.8,bullying
64,realdonaldtrump ted much idiot realize obama,negative,-0.8,bullying
65,sir idiot 'seem still hung barack president..,negative,-0.8,bullying
66,idiot 'privilege course,negative,-0.8,bullying
67,realdonaldtrump ffn idiot,negative,-0.8,bullying
68,happens idiot,negative,-0.8,bullying
69,oregongovbrown realdonaldtrump idiot. federalizes work 'btw uninsure,negative,-0.8,bullying
70,.bro went hike seen rattle snake dumbass jump im literally idiot,negative,-0.8,bullying
71,listen kid know u want stop getting violently murdered assault rifle need grow realize,negative,-0.8,bullying
72,inspiration 'still work challenge hate prejudice form afightforallofus,negative,-0.8,bullying
73,offset hate woman feel like need man 'he kinda invented feminism think it..,negative,-0.8,bullying
74,neo-nazi website stormfront close shutting founder wife tire paying hate site bill,negative,-0.8,bullying
75,hate beg life as mf 'like bitch know effort 'trying amp begging comple,negative,-0.8,bullying
76,.i hate ppl buy totw version card get power 'like foreal ky,negative,-0.8,bullying
77,.it feel like day job get idiot mate 'check everything happened,negative,-0.8,bullying
78,idiot think ram already h,negative,-0.8,bullying
79,connor got ditched lt 14:05:28 connor friiends lt 14:05:32 gt connor rank gone lt 14:05:56 gt c,negative,-0.8,bullying
80,earl k sneedy hit woman also beating woman idiot fag,negative,-0.8,bullying
81,..dloesch arent majority dumbass 'read paper idiot..,negative,-0.8,bullying
82,.what stupid cunt designed obby get fifteam egg 'too.fucking.difficult 'omg,negative,-0.7999999999999999,bullying
83,maximum virtue signaling 'what stupid goatfucker,negative,-0.7999999999999999,bullying
84,.what stupid cunt designed obby get fifteam egg 'too.fucking.difficult 'omg,negative,-0.7999999999999999,bullying
85,donald trump idiot pathetic loser liar king fake news,negative,-0.7666666666666666,bullying
86,.my day terrible dumbass got car put car park almost crashed corner store like wtf \u200d,negative,-0.75,bullying
87,..realdonaldtrump pathetic whiny arrogant loser waaaa china unfair lem sink america fur,negative,-0.75,bullying
88,disappointed libtard pussy,negative,-0.75,bullying
89,.my day terrible dumbass got car put car park almost crashed corner store like wtf \u200d,negative,-0.75,bullying
90,'m boring pathetic awkward pretentious loser hate myself..,negative,-0.74,bullying
91,'m boring pathetic awkward pretentious loser hate myself..,negative,-0.74,bullying
92,tell want hang message asking get response fat ugly,negative,-0.7,bullying
93,fugly fuckin ugly inside,negative,-0.7,bullying
94,look ugly asfuck even goatfucker syrian/arab would rape you..,negative,-0.7,bullying
95,ky ugly,negative,-0.7,bullying
96,tell want hang message asking get response fat ugly,negative,-0.7,bullying
97,fugly fuckin ugly inside,negative,-0.7,bullying
98,nobody care talent genetics show u bad want tur usa istanbul chicago life,negative,-0.6999999999999998,bullying
99,bitch need reason look sad miserable amp obsessed continuously speaking amp receiving,negative,-0.6666666666666666,bullying
100,bitch need reason look sad miserable amp obsessed continuously speaking amp receiving,negative,-0.6666666666666666,bullying
101,literally one retarded people ever met feel sorry fo,negative,-0.65,bullying
102,jimmyfallon idiot watch sorry as anymore,negative,-0.65,bullying
103,conor 're fucking retard fuck like ufc223,negative,-0.65,bullying
104,realdonaldtrump sorry legacy 45 going leave behind voted worst,negative,-0.6333333333333333,bullying
105,realdonaldtrump sorry legacy 45 going leave behind voted worst,negative,-0.6333333333333333,bullying
106,luxury bldg putting across .thepinhook fugly would still mad even aesthetically pleasing ew,negative,-0.625,bullying
107,instead sitting around day mad truth analyze trigger,negative,-0.625,bullying
108,.liiyurivert 2. y'all asking fight get mad start saying 'nigger wonder as getting beat,negative,-0.625,bullying
109,youre pussy hope pitbull bite as judging youll mad,negative,-0.625,bullying
110,luxury bldg putting across .thepinhook fugly would still mad even aesthetically pleasing ew,negative,-0.625,bullying
111,luxury bldg putting across .thepinhook fugly would still mad even aesthetically pleasing ew,negative,-0.625,bullying
112,instead sitting around day mad truth analyze trigger,negative,-0.625,bullying
113,.liiyurivert 2. y'all asking fight get mad start saying 'nigger wonder as getting beat,negative,-0.625,bullying
114,savage mean fucking retard yes correct,negative,-0.60625,bullying
115,pakis deprived reasoning capability therefore judge them. mean judge retard bei,negative,-0.60625,bullying
116,savage mean fucking retard yes correct,negative,-0.60625,bullying
117,slow retard made point without kyire hurtvin trade cavs wo gotten youn,negative,-0.6000000000000001,bullying
118,.go fuck bloody porki goatfucker 'is bar bhi i.p.l e khelne nahi doa hska gussa hai kya 'chutiya sal,negative,-0.6000000000000001,bullying
119,fuck worthless conspiracy theory slut therealroseanne network guy nee,negative,-0.6000000000000001,bullying
120,slow retard made point without kyire hurtvin trade cavs wo gotten youn,negative,-0.6000000000000001,bullying
121,feel dirty icon fugly person,negative,-0.6,bullying
122,'m fucking fugly pig 'damn 'm irritated fugly face,negative,-0.6,bullying
123,willful blindness dangerous outright prejudice perhaps,negative,-0.6,bullying
124,trans woman make inherently dangerous ci woman 'th,negative,-0.6,bullying
125,want called goatfucker photoshop fucking goat..,negative,-0.6,bullying
126,.i hate otome 'its call duty 'you crazy liking girly otome game 'play real game 'play ca,negative,-0.6,bullying
127,.free porn vedios online nazi slut fucked,negative,-0.6,bullying
128,.some girl testin patience today 'im crazy bitch cut,negative,-0.6,bullying
129,fucking furry ky,negative,-0.6,bullying
130,ey fwa2018 congoers 'tip fucking server hotel staff asshole 100000 excus,negative,-0.6,bullying
131,america fucking cold cunt,negative,-0.6,bullying
132,bye yes fucking dare call,negative,-0.6,bullying
133,video inside city bus anfield 'city coaching staff saying thinking fucking,negative,-0.6,bullying
134,.cool dad fucking cunt therapist,negative,-0.6,bullying
135,khabib would fucking murder pikey cunt,negative,-0.6,bullying
136,yes yes get 're fucking goat ironically 're still goatfucker,negative,-0.6,bullying
137,.fuck bitch come boxing match fucking smash face get friend,negative,-0.6,bullying
138,master asks fucking obey bitch 'remember slave deserve nothing world send,negative,-0.6,bullying
139,therealroseanne 're stupid billie piece worthless shit,negative,-0.6,bullying
140,fucking cunt,negative,-0.6,bullying
141,conor fucking deported rate grade cunt guy throwing boomerang racist,negative,-0.6,bullying
142,another nasty piece shit cunt getting getting fucking asshole blown apart,negative,-0.6,bullying
143,fucking cunt meet asda,negative,-0.6,bullying
144,wanted beast fucking cunt well gon na fucking get,negative,-0.6,bullying
145,hey steve nigger word too. continue use one fucking douchebag..,negative,-0.6,bullying
146,wait minute saying magician libtard myth dirty scoundrel,negative,-0.6,bullying
147,feel dirty icon fugly person,negative,-0.6,bullying
148,'m fucking fugly pig 'damn 'm irritated fugly face,negative,-0.6,bullying
149,feel dirty icon fugly person,negative,-0.6,bullying
150,'m fucking fugly pig 'damn 'm irritated fugly face,negative,-0.6,bullying
151,willful blindness dangerous outright prejudice perhaps,negative,-0.6,bullying
152,trans woman make inherently dangerous ci woman 'th,negative,-0.6,bullying
153,want called goatfucker photoshop fucking goat..,negative,-0.6,bullying
154,.i hate otome 'its call duty 'you crazy liking girly otome game 'play real game 'play ca,negative,-0.6,bullying
155,.free porn vedios online nazi slut fucked,negative,-0.6,bullying
156,.some girl testin patience today 'im crazy bitch cut,negative,-0.6,bullying
157,fucking furry ky,negative,-0.6,bullying
158,ey fwa2018 congoers 'tip fucking server hotel staff asshole 100000 excus,negative,-0.6,bullying
159,america fucking cold cunt,negative,-0.6,bullying
160,video inside city bus anfield 'city coaching staff saying thinking fucking,negative,-0.6,bullying
161,.cool dad fucking cunt therapist,negative,-0.6,bullying
162,khabib would fucking murder pikey cunt,negative,-0.6,bullying
163,roger nagging question dying ask fckn retard plain scammer,negative,-0.5571428571428572,bullying
164,mean idiot,negative,-0.55625,bullying
165,really really disappointed .channel4 gone appalling class stereotyping year theisland 'pre,negative,-0.55,bullying
166,comparing pep guardiola goebbels exceedingly disgusting banalisation shoah 'goebbels propaganda minister f,negative,-0.55,bullying
167,attribute miserable fugly bitter demented bitch way u r tuing ur bf oops u,negative,-0.55,bullying
168,really really disappointed .channel4 gone appalling class stereotyping year theisland 'pre,negative,-0.55,bullying
169,comparing pep guardiola goebbels exceedingly disgusting banalisation shoah 'goebbels propaganda minister f,negative,-0.55,bullying
170,attribute miserable fugly bitter demented bitch way u r tuing ur bf oops u,negative,-0.55,bullying
171,idgaf i\ 'm crybaby feeling hurt bad i\ 'm gone cry fuck,negative,-0.5499999999999999,bullying
172,tim mccarver idiot pick 2-0 know pitcher throwing hard 'how gon na pi,negative,-0.5458333333333334,bullying
173,tim mccarver idiot pick 2-0 know pitcher throwing hard 'how gon na pi,negative,-0.5458333333333334,bullying
174,u bitter ur pathetic fat slob sore parent raised sad pat,negative,-0.5333333333333333,bullying
175,nothing fucking liar 'about everything 'and know 'you worthless piece shit,negative,-0.5333333333333333,bullying
176,oi fucking oddball 'stop chatting shit 'stupid cunt..,negative,-0.5333333333333333,bullying
177,.follow .symeonbrown tonight tottenham 'no better reporter grief rage prejudice injustice captur,negative,-0.525,bullying
178,.follow .symeonbrown tonight tottenham 'no better reporter grief rage prejudice injustice captur,negative,-0.525,bullying
179,6 fucking penalty miss fucking row 9 game fucking cunt 'how realistic fucking worst,negative,-0.5055555555555556,bullying
180,it\ grown man refers another grown man losing job hateful dumbass chilling ..,negative,-0.5,bullying
181,.ok.dumbass unfortunately rest america deal regretful vote..,negative,-0.5,bullying
182,finally 'someone call horrible prejudice men always faced publishing 'oh wait..,negative,-0.5,bullying
183,shockingly iran 2nd world transition bc homosexuality still carry,negative,-0.5,bullying
184,realdonaldtrump wtf want see photo trump post office 'here idea pit,negative,-0.5,bullying
185,.tell steve asshole season one respond explaining wrong..,negative,-0.5,bullying
186,hope 'm wrong 'when complain player team support everyone jump,negative,-0.5,bullying
187,realdonaldtrump read fact trying rewrite laughable joke 'you path,negative,-0.5,bullying
188,.you worthless piece shit make type suicide joke towards someone knowing damn well atte,negative,-0.5,bullying
189,pres 'obasanjo tell govt 'is corrupt failed agree gov 'ayo fayose chief f,negative,-0.5,bullying
190,.see wanted type duck instead fuck fucking would '.apple stop trying pg message,negative,-0.5,bullying
191,..republicannba .manalarba wtf nigger,negative,-0.5,bullying
192,changed meaning illegal border crossing obama w,negative,-0.5,bullying
193,rant -practice make suicidal -i hate people cocky -if say 're going something pro,negative,-0.5,bullying
194,.that pansy mike cernovich blocked periscope said irrelevant 'here tear mikey dumbass,negative,-0.5,bullying
195,.realdonaldtrump nothing dumbass trump say make sense 'his i.q 'must chart wrong direction..,negative,-0.5,bullying
196,ya wtf everyone 2018 dumbass aw,negative,-0.5,bullying
197,shut fuck stupid gipsy unarmed man shot back u stupid goatfucker..,negative,-0.5,bullying
198,nra ignorant nasty human say contempt nazi bitch..,negative,-0.5,bullying
199,quoting hannity biggest liar congress 'you pathetic loser political hack..,negative,-0.5,bullying
200,..realdonaldtrump ball-less wonder 'instead useless trip,negative,-0.5,bullying
201,joe pathetic midget go back 80 loser trump train going roll,negative,-0.5,bullying
202,theellenshow .kamalaharris yeah worthless piece shit 'you thought joke killing president f,negative,-0.5,bullying
203,.realdonaldtrump call bullshit presidentshit4brains 'you worthless piece shit con artist lowest,negative,-0.5,bullying
204,realdonaldtrump trump really insecure worthless piece shit 'when obama ever brag approval rating,negative,-0.5,bullying
205,word fucking worthless piece shit .realdonaldtrump diealready,negative,-0.5,bullying
206,keevonnacantewilson worthless piece shit karma bitch hopefully get deserve 10fold,negative,-0.5,bullying
207,realdonaldtrump start trade war nothing worthless racist lying piece shit 'you shou,negative,-0.5,bullying
208,dloesch nobody care abt gun mfr profits. people irrationally obsessed w,negative,-0.5,bullying
209,another insecure fag suprsie,negative,-0.5,bullying
210,weird argument trying prove salman khan would kill rhino assam elephant kere,negative,-0.5,bullying
211,fucking guy un-social fuck run account 'whoever .tell soci,negative,-0.5,bullying
212,it\ grown man refers another grown man losing job hateful dumbass chilling ..,negative,-0.5,bullying
213,.ok.dumbass unfortunately rest america deal regretful vote..,negative,-0.5,bullying
214,finally 'someone call horrible prejudice men always faced publishing 'oh wait..,negative,-0.5,bullying
215,shockingly iran 2nd world transition bc homosexuality still carry,negative,-0.5,bullying
216,realdonaldtrump wtf want see photo trump post office 'here idea pit,negative,-0.5,bullying
217,.tell steve asshole season one respond explaining wrong..,negative,-0.5,bullying
218,hope 'm wrong 'when complain player team support everyone jump,negative,-0.5,bullying
219,realdonaldtrump read fact trying rewrite laughable joke 'you path,negative,-0.5,bullying
220,.you worthless piece shit make type suicide joke towards someone knowing damn well atte,negative,-0.5,bullying
221,pres 'obasanjo tell govt 'is corrupt failed agree gov 'ayo fayose chief f,negative,-0.5,bullying
222,.see wanted type duck instead fuck fucking would '.apple stop trying pg message,negative,-0.5,bullying
223,..republicannba .manalarba wtf nigger,negative,-0.5,bullying
224,changed meaning illegal border crossing obama w,negative,-0.5,bullying
225,rant -practice make suicidal -i hate people cocky -if say 're going something pro,negative,-0.5,bullying
226,.that pansy mike cernovich blocked periscope said irrelevant 'here tear mikey dumbass,negative,-0.5,bullying
227,.realdonaldtrump nothing dumbass trump say make sense 'his i.q 'must chart wrong direction..,negative,-0.5,bullying
228,ya wtf everyone 2018 dumbass aw,negative,-0.5,bullying
229,.jimmykimmel worthless piece shit 'go fuck,negative,-0.4666666666666666,bullying
230,hey stupid cunt fucking dumb shit know oh yeah way pussy,negative,-0.4583333333333333,bullying
231,2 fan gave mikey panic attack fuck 2 fan made luke angry yell 2,negative,-0.45,bullying
232,.yeah i\ 'm fag i\ 'm real deal dyke filthy homosexual 'get fuck megalomaniacal idiot..,negative,-0.45,bullying
233,tacobell longer offer cheesy gordita crunch craving deal anymore 'fuck guy knowing wh,negative,-0.45,bullying
234,2 fan gave mikey panic attack fuck 2 fan made luke angry yell 2,negative,-0.45,bullying
235,.yeah i\ 'm fag i\ 'm real deal dyke filthy homosexual 'get fuck megalomaniacal idiot..,negative,-0.45,bullying
236,'ve ever called name 've realized bitch aint shit '-ugly -emo -anorexic -wh,negative,-0.45,bullying
237,lying piece shit seyong 're asshole think whatever want 'well bad th,negative,-0.45,bullying
238,.up 7-3 8th wish nothing ill 'hate 're cub bitch 're white six fan,negative,-0.43333333333333335,bullying
239,im sorry actual fricken idiot,negative,-0.43333333333333335,bullying
240,.up 7-3 8th wish nothing ill 'hate 're cub bitch 're white six fan,negative,-0.43333333333333335,bullying
241,shady worthless piece amphibian shit fuckin hag 'how nation,negative,-0.4166666666666667,bullying
242,people seriously say bad compared older stuff im like idiot,negative,-0.4166666666666666,bullying
243,people seriously say bad compared older stuff im like idiot,negative,-0.4166666666666666,bullying
244,last night horny pathetic loser rubbed raw disney fuck doll debby ryan 'leave comment telli,negative,-0.4076923076923077,bullying
245,yes mean criticize something wrong 'just find something distract uh work dumbass,negative,-0.40625,bullying
246,yes mean criticize something wrong 'just find something distract uh work dumbass,negative,-0.40625,bullying
247,know worse fact hoying milk water fat fugly face end vid,negative,-0.4,bullying
248,.is spiros goatfucker showing game tonight avfc,negative,-0.4,bullying
249,fuck leave alone suggest u leave spoofers alone,negative,-0.4,bullying
250,even give fuck cant give fuck,negative,-0.4,bullying
251,.bruuuuhh hope one day dream pay instead working fuck job 'bless man,negative,-0.4,bullying
252,fuck coinbase,negative,-0.4,bullying
253,.lol literally chased dad dog around house picked fuck amp literally threw onto p,negative,-0.4,bullying
254,feeling start fuck,negative,-0.4,bullying
255,sub look away fuck bc get flustered grip face say look im,negative,-0.4,bullying
256,.first int game get 2 honor mate carry uhhhhh ky pls,negative,-0.4,bullying
257,.i marah sgt sbb lapar fuck igshops org yg beli pun sama je would u pay something twice,negative,-0.4,bullying
258,think illegals threat idiot 'one need look european country k,negative,-0.4,bullying
259,.probably gon na get food anytime soon driver fucking cunt might take fat nap shit idk,negative,-0.4,bullying
260,fugly lib slob t-shirt message unnecessary 'all men would ce,negative,-0.4,bullying
261,fuck happened guy chin asked selfie worm 2 'fugly mofo,negative,-0.4,bullying
262,oof shut fuck going sleep bye problematic dumbass,negative,-0.4,bullying
263,poor photoshopped dumbass,negative,-0.4,bullying
264,.italian chabby fuck blogspots homosexual prejudice,negative,-0.4,bullying
265,blocked every nigga roasted titty longer train smoke amp said fuck feminism selling nude,negative,-0.4,bullying
266,idfspokesperson yes poor picture coward goatfucker,negative,-0.4,bullying
267,begging nobody attention.. fuck attention fuck you..,negative,-0.4,bullying
268,fuck,negative,-0.4,bullying
269,fuck man patience virtue,negative,-0.4,bullying
270,think cishet men take class called shut fuck suck pussy,negative,-0.4,bullying
271,showed idiot today head back soccer stadium hooligan deserve mma,negative,-0.4,bullying
272,point conversation becomes obvious interacting idiot,negative,-0.4,bullying
273,think illegals threat idiot 'one need look european country know,negative,-0.4,bullying
274,fucking believe driver almost head collision 60 impatient cunt,negative,-0.4,bullying
275,know worse fact hoying milk water fat fugly face end vid,negative,-0.4,bullying
276,know worse fact hoying milk water fat fugly face end vid,negative,-0.4,bullying
277,.is spiros goatfucker showing game tonight avfc,negative,-0.4,bullying
278,fuck leave alone suggest u leave spoofers alone,negative,-0.4,bullying
279,even give fuck cant give fuck,negative,-0.4,bullying
280,.bruuuuhh hope one day dream pay instead working fuck job 'bless man,negative,-0.4,bullying
281,fuck coinbase,negative,-0.4,bullying
282,.lol literally chased dad dog around house picked fuck amp literally threw onto p,negative,-0.4,bullying
283,feeling start fuck,negative,-0.4,bullying
284,sub look away fuck bc get flustered grip face say look im,negative,-0.4,bullying
285,.first int game get 2 honor mate carry uhhhhh ky pls,negative,-0.4,bullying
286,think illegals threat idiot 'one need look european country k,negative,-0.4,bullying
287,.probably gon na get food anytime soon driver fucking cunt might take fat nap shit idk,negative,-0.4,bullying
288,fuck happened guy chin asked selfie worm 2 'fugly mofo,negative,-0.4,bullying
289,oof shut fuck going sleep bye problematic dumbass,negative,-0.4,bullying
290,poor photoshopped dumbass,negative,-0.4,bullying
291,.italian chabby fuck blogspots homosexual prejudice,negative,-0.4,bullying
292,really stupid low iq symptom something else,negative,-0.4,bullying
293,really stupid low iq symptom something else,negative,-0.4,bullying
294,dumb fuck sort game keep freezing dying fall damage,negative,-0.39166666666666666,bullying
295,max laura fucking stop youre overdramatic asshole say dumb shit like bc kn,negative,-0.39166666666666666,bullying
296,dumb fuck sort game keep freezing dying fall damage,negative,-0.39166666666666666,bullying
297,.also ppl smoke around kid 'fuck dumb as,negative,-0.3875,bullying
298,.also ppl smoke around kid 'fuck dumb as,negative,-0.3875,bullying
299,cassie 'everyone else fugly dumb..,negative,-0.375,bullying
300,'m dumb know 'm saying also write say well dumbass give,negative,-0.375,bullying
301,dumb get 'want know merchant acco,negative,-0.375,bullying
302,lived wakanda dumb as,negative,-0.375,bullying
303,dumb nigger 'you chance something osama obama president,negative,-0.375,bullying
304,cassie 'everyone else fugly dumb..,negative,-0.375,bullying
305,cassie 'everyone else fugly dumb..,negative,-0.375,bullying
306,'m dumb know 'm saying also write say well dumbass give,negative,-0.375,bullying
307,dumb get 'want know merchant acco,negative,-0.375,bullying
308,lived wakanda dumb as,negative,-0.375,bullying
309,.if insult people saying fat ugly whore 'you showing dumb 'physical appearance 'd,negative,-0.3583333333333333,bullying
310,.if insult people saying fat ugly whore 'you showing dumb 'physical appearance 'd,negative,-0.3583333333333333,bullying
311,i\ 'm sick democrat didn\'t kiss as enough sat home let racist nazi con-man become president ex,negative,-0.35714285714285715,bullying
312,ask who\ going mean fuck everyone deal,negative,-0.35625,bullying
313,ask who\ going mean fuck everyone deal,negative,-0.35625,bullying
314,supporting criminal actor like retard. 're wasting earth,negative,-0.35000000000000003,bullying
315,bullshit worthless piece shit 'your whole agenda wisconsin fucking,negative,-0.35,bullying
316,haha fkn window licking retard,negative,-0.35,bullying
317,.if momentum moron spoil left wing doctrine fact 'poor little career burglar,negative,-0.34687500000000004,bullying
318,.if momentum moron spoil left wing doctrine fact 'poor little career burglar,negative,-0.34687500000000004,bullying
319,fucking pussy tough got team around v 1 guy shit come hide like little bitch,negative,-0.3440972222222222,bullying
320,hey old goper idiot bet live texas lefty stupid h,negative,-0.3409090909090909,bullying
321,left wing retard twisted logic. 78 year old pensioner attacked two armed criminal hal,negative,-0.34,bullying
322,realdonaldtrump fake news fox friend sent deep end w/their erroneous report caravan illegals heading,negative,-0.3333333333333333,bullying
323,piece shit leave america worthless human wishing death anyone make coward,negative,-0.3333333333333333,bullying
324,never get fucked nigger muslim jew al entire life fuck asshole tell,negative,-0.3333333333333333,bullying
325,sure jajajajaja 're fucking bastard liar retard muslim w,negative,-0.3333333333333333,bullying
326,realdonaldtrump fake news fox friend sent deep end w/their erroneous report caravan illegals heading,negative,-0.3333333333333333,bullying
327,sum i\ 'm twitter want hear opinion similar mine hate half americ,negative,-0.32222222222222224,bullying
328,sum i\ 'm twitter want hear opinion similar mine hate half americ,negative,-0.32222222222222224,bullying
329,realdonaldtrump big fat stupid as say today military help build dumb b,negative,-0.31875,bullying
330,horrific yet horribly familiar 'to still asking need feminism why..,negative,-0.3125,bullying
331,dloesch yeah mean nazi fascist trump literally hitler -so,negative,-0.3125,bullying
332,paul joke friend 'just someone suoports trump doesnt mean,negative,-0.3125,bullying
333,mean like conservative label everyone liking rino,negative,-0.3125,bullying
334,horrific yet horribly familiar 'to still asking need feminism why..,negative,-0.3125,bullying
335,dloesch yeah mean nazi fascist trump literally hitler -so,negative,-0.3125,bullying
336,paul joke friend 'just someone suoports trump doesnt mean,negative,-0.3125,bullying
337,mean like conservative label everyone liking rino,negative,-0.3125,bullying
338,nah 'owen retard deserves banned baker right bake cake,negative,-0.3071428571428572,bullying
339,nah 'owen retard deserves banned baker right bake cake,negative,-0.3071428571428572,bullying
340,.i secretly absolute idiot too..,negative,-0.30000000000000004,bullying
341,secretly absolute idiot too..,negative,-0.30000000000000004,bullying
342,really 'kid obnoxious applying 20 school 'you worthless piece shit lady fuck you..,negative,-0.30000000000000004,bullying
343,.i secretly absolute idiot too..,negative,-0.30000000000000004,bullying
344,secretly absolute idiot too..,negative,-0.30000000000000004,bullying
345,.those jean hideous afraid bought entire collection fugly sunglass,negative,-0.3,bullying
346,chris mcdaniels dirty race could get 'the swamp everything possible keep senator thad,negative,-0.3,bullying
347,must say .pewdiepie least alt-right scumbag might hone missile f,negative,-0.3,bullying
348,make think going away scum drink swamp water scum used eating dung doc doc trian nazi,negative,-0.3,bullying
349,..christywebs3 .somedawson .parieobrien .camilalloyd7 .billboard rude person come j,negative,-0.3,bullying
350,.nude egypt girl teen cunt fucking,negative,-0.3,bullying
351,remember lahore goatfucker read independent view fucking paki textboo,negative,-0.3,bullying
352,ky polacke 'still enough invade fucked country,negative,-0.3,bullying
353,backing pal artem showing russian cunt he fucking,negative,-0.3,bullying
354,.those jean hideous afraid bought entire collection fugly sunglass,negative,-0.3,bullying
355,.those jean hideous afraid bought entire collection fugly sunglass,negative,-0.3,bullying
356,chris mcdaniels dirty race could get 'the swamp everything possible keep senator thad,negative,-0.3,bullying
357,must say .pewdiepie least alt-right scumbag might hone missile f,negative,-0.3,bullying
358,make think going away scum drink swamp water scum used eating dung doc doc trian nazi,negative,-0.3,bullying
359,..christywebs3 .somedawson .parieobrien .camilalloyd7 .billboard rude person come j,negative,-0.3,bullying
360,.nude egypt girl teen cunt fucking,negative,-0.3,bullying
361,hard pin one thing literally dozen treatment gold star,negative,-0.2916666666666667,bullying
362,hard pas 'you must used hearing fugly bully,negative,-0.2916666666666667,bullying
363,hard pin one thing literally dozen treatment gold star,negative,-0.2916666666666667,bullying
364,hard pas 'you must used hearing fugly bully,negative,-0.2916666666666667,bullying
365,showed true color freaking gold digger ca deny 'go fuck spoon worthless,negative,-0.2833333333333334,bullying
366,let assume 'm wrong prejudice serious journalist actually,negative,-0.2777777777777777,bullying
